record,base_um,factor,level,thickness_um
附件1(10°),7.482232180398159,angle_deg,-0.2,7.481637248186411
附件1(10°),7.482232180398159,angle_deg,0.0,7.482232180398159
附件1(10°),7.482232180398159,angle_deg,0.2,7.482838777888894
附件1(10°),7.482232180398159,refractive_index_scale,0.995,7.519831337083577
附件1(10°),7.482232180398159,refractive_index_scale,1.0,7.482232180398159
附件1(10°),7.482232180398159,refractive_index_scale,1.005,7.445007144674786
附件1(10°),7.482232180398159,band_shift_fraction,-0.08,7.459403739673521
附件1(10°),7.482232180398159,band_shift_fraction,0.0,7.482232180398159
附件1(10°),7.482232180398159,band_shift_fraction,0.08,7.468037716738886
附件1(10°),7.482232180398159,reflectance_clip,1.0,7.482232180398159
附件2(15°),7.480400215587533,angle_deg,-0.2,7.479471929350928
附件2(15°),7.480400215587533,angle_deg,0.0,7.480400215587533
附件2(15°),7.480400215587533,angle_deg,0.2,7.481340144781094
附件2(15°),7.480400215587533,refractive_index_scale,0.995,7.517990166419631
附件2(15°),7.480400215587533,refractive_index_scale,1.0,7.480400215587533
附件2(15°),7.480400215587533,refractive_index_scale,1.005,7.443184294116949
附件2(15°),7.480400215587533,band_shift_fraction,-0.08,7.443775419413122
附件2(15°),7.480400215587533,band_shift_fraction,0.0,7.480400215587533
附件2(15°),7.480400215587533,band_shift_fraction,0.08,7.503855215339158
附件2(15°),7.480400215587533,reflectance_clip,1.0,7.480400215587533
附件3(10°),3.4762727012465406,angle_deg,-0.2,3.4760996406903226
附件3(10°),3.4762727012465406,angle_deg,0.0,3.4762727012465406
附件3(10°),3.4762727012465406,angle_deg,0.2,3.476449140042482
附件3(10°),3.4762727012465406,refractive_index_scale,0.995,3.4937414082879807
附件3(10°),3.4762727012465406,refractive_index_scale,1.0,3.4762727012465406
附件3(10°),3.4762727012465406,refractive_index_scale,1.005,3.458977812185613
附件3(10°),3.4762727012465406,band_shift_fraction,-0.08,3.4179717979481925
附件3(10°),3.4762727012465406,band_shift_fraction,0.0,3.4762727012465406
附件3(10°),3.4762727012465406,band_shift_fraction,0.08,3.464032638421185
附件3(10°),3.4762727012465406,reflectance_clip,1.0,3.4762727012465406
附件4(15°),3.474687728584043,angle_deg,-0.2,3.474432588570537
附件4(15°),3.474687728584043,angle_deg,0.0,3.474687728584043
附件4(15°),3.474687728584043,angle_deg,0.2,3.4749460297742116
附件4(15°),3.474687728584043,refractive_index_scale,0.995,3.4921484709387367
附件4(15°),3.474687728584043,refractive_index_scale,1.0,3.474687728584043
附件4(15°),3.474687728584043,refractive_index_scale,1.005,3.457400724959247
附件4(15°),3.474687728584043,band_shift_fraction,-0.08,3.455180669968125
附件4(15°),3.474687728584043,band_shift_fraction,0.0,3.474687728584043
附件4(15°),3.474687728584043,band_shift_fraction,0.08,3.474687728584043
附件4(15°),3.474687728584043,reflectance_clip,1.0,3.474687728584043
