repeat,converged,week_c,week_c2,bmi_c,week_c:bmi_c,随机截距方差,随机截距退化
1,True,0.1599051459525902,0.0380428423641832,-0.11410616930345449,0.005876319879118796,0.16193058214649092,False
2,True,0.1442082536076244,0.05514339259372304,-0.11223075036181078,0.03239856490934271,0.17891353791274128,False
3,True,0.16790437534559238,0.052328171714373685,-0.05731863999912358,0.013522099574415854,0.1937236325569825,False
4,True,0.1620089821957918,0.026851119955919652,-0.08254999533579498,-0.0006854657596081229,0.15325235207788068,False
5,True,0.16958919380151088,0.0331573189365658,-0.08343258873618717,0.01866971731295715,0.19149330469481501,False
6,True,0.15752865112880574,0.0470300755352362,-0.11980462380052284,0.01110794044964088,0.185260435443393,False
7,True,0.18059114915239186,0.04519999931702204,-0.06140819810400434,-0.006679156071523906,0.2038806326750448,False
8,True,0.14714513649675864,0.04477818369342078,-0.05654910990475199,-0.006069158709139603,0.19582783752320523,False
9,True,0.16979674659427096,0.04029716850155484,-0.08145188420243203,-0.0028794926219103192,0.1792622631134831,False
10,True,0.18907397963698838,0.03660678750367405,-0.08505461261317407,0.02549776041037043,0.18288562576344503,False
11,True,0.15635556769495648,0.04036638584039921,-0.0780656959730326,0.021074230033276627,0.1933382877607614,False
12,True,0.14858475325498197,0.041869704802032344,-0.11272248433623316,0.01788311480104332,0.17034337940273106,False
13,True,0.16326125044290166,0.06078211155829475,-0.0701708266207377,0.01780257781223547,0.17637753228091257,False
14,True,0.14309447658619917,0.05544481929383766,-0.08805482292552064,0.00911103326775938,0.17834499446980487,False
15,True,0.15024674105463745,0.05370110565523958,-0.06333441598364502,0.0032658732905137926,0.19445734090013467,False
16,True,0.16996368161536987,0.03703592280453244,-0.10663506467696214,0.009653857512828845,0.14810046229360865,False
17,True,0.14626346008680635,0.05389286126204813,-0.07834635152887973,0.008178990745670888,0.1779103606701045,False
18,True,0.17840090204002804,0.038690841765424505,-0.10279763877661127,0.01705730546603165,0.213277470481161,False
19,True,0.184257768212959,0.05256069234881751,-0.06476435030407482,0.008032467746010174,0.20755937264429128,False
20,True,0.16417462292092688,0.031829890210943367,-0.056567346957723724,0.013688581852911148,0.16481960476448707,False
21,True,0.15131980744504284,0.04633138459164878,-0.08090870175450851,0.012113477693092529,0.16778693505064965,False
22,True,0.1687666091974177,0.02284282192811778,-0.02030573811182901,0.002994479539039329,0.2118443880477693,False
23,True,0.15492708820164472,0.049722416082548355,-0.04894596054916459,-0.0044527350228641205,0.1809832859866837,False
24,True,0.19437560613126947,0.03124315465254453,-0.05705286493651538,-0.0005140188034384783,0.20349373373430246,False
25,True,0.16248674853842418,0.02902522384618357,-0.06076767660057467,-0.0028798977631175693,0.18175132146247192,False
26,True,0.16008666634429974,0.020531646803682243,-0.05076119481070355,0.02721432263764746,0.17505694399726385,False
27,True,0.1787950204515816,0.032068072489620125,-0.059000375484211665,-0.0049616617637506365,0.20368412885559684,False
28,True,0.1464680813137641,0.03547106539431373,-0.055738779059906665,0.015189271240679801,0.18702745881356322,False
29,True,0.13353071737403346,0.04127111816934749,-0.035393420106619354,0.0011772114736710222,0.1970210967477841,False
30,True,0.16779845232891996,0.02834370297515738,-0.03067172701279441,-0.004883621777809461,0.18870423047917345,False
31,True,0.17050046318699943,0.03278941979684938,-0.11203371662158822,0.01324469659543984,0.16898028581899446,False
32,True,0.1477498613024311,0.023634151899843994,-0.06724522175479361,0.01003108035084483,0.1579079132956949,False
33,True,0.18646295744054975,0.0609954099288408,-0.038462108393339044,0.004476628245649364,0.18550660851009926,False
34,True,0.18434269843665688,0.02690007115498513,-0.08732903173162754,0.014942835797352859,0.18913430756681263,False
35,True,0.18220485351619528,0.05616638321339724,-0.09268821511507112,4.895438780891171e-05,0.18173392672346578,False
36,True,0.13843079293326127,0.05982034367068354,-0.053555942458765715,-0.0052926024649097205,0.18414869874646506,False
37,True,0.12336088552937867,0.05027409682964776,-0.06950717827184809,0.010470959073232816,0.19769303139835553,False
38,True,0.16532074351576417,0.035543918112886215,-0.09480787523776112,0.012763821920956717,0.1847739639491777,False
39,True,0.18966600130743402,0.037870398022967856,-0.06478549833257022,0.0038131166282401423,0.20925821770912664,False
40,True,0.173709116524349,0.04844139508407965,-0.09373655579146088,0.017112826591260292,0.18567359396827454,False
41,True,0.15478139842643338,0.04389308647636994,-0.041889298041838725,0.008707589891854378,0.20586783831515276,False
42,True,0.17562369338543388,0.03796945322311455,-0.01815562071052738,-0.030295704058324907,0.2006890412911701,False
43,True,0.14656530472719792,0.047909738637129204,-0.048962877918177876,0.018686287319287804,0.18430342639909125,False
44,True,0.1840949230869469,0.04461439628807333,-0.10705066228379112,0.0010485491973921358,0.20533496195535617,False
45,True,0.1701035063697557,0.048719970585340916,-0.03795791143893226,0.012890081475304519,0.2013180176724473,False
46,True,0.1579616411766756,0.03804771898415726,-0.07278615713715024,0.023449381390624375,0.18992107721202758,False
47,True,0.16632100578454834,0.04212125105150995,-0.06746412891045028,0.01631730373611952,0.18160428708230683,False
48,True,0.17591272751562073,0.04866662767012088,-0.09024986445779112,0.018297174323098797,0.1741889607866744,False
49,True,0.16849251757590517,0.04729065247710172,-0.04132867398143095,0.019160584551903784,0.21427942450841478,False
50,True,0.17031638047620423,0.035881533906300896,-0.045686323321969424,0.0011633714148400695,0.1810890222075622,False
51,True,0.15923274744652574,0.05116235958860607,-0.07739302759377892,0.02621919560860354,0.188966658563313,False
52,True,0.1743061490623694,0.03393508971427556,-0.08158850669912375,0.011678303697540686,0.17396316191797334,False
53,True,0.17266919271664422,0.03483912499635256,-0.04190356377942573,-0.0035205384636798924,0.17632005023224506,False
54,True,0.17362960725478133,0.049410023533235044,-0.029725235545370852,-0.0014917382384317566,0.19545671743540485,False
55,True,0.16654142439471128,0.055302344824615955,-0.010840034960128813,-0.005718941795452712,0.15420969869775764,False
56,True,0.15377816961759994,0.035796393526358876,-0.05631603439531957,0.026195943682671863,0.1614944539262907,False
57,True,0.19406442512474173,0.0392652540439855,-0.12918135752626297,0.0008099205924053654,0.16083649773599953,False
58,True,0.19133262163646236,0.04284092232404607,-0.14657602646236262,0.010484194218591446,0.19588548597855018,False
59,True,0.18047824380904073,0.035431093534070694,-0.03621743687452447,0.0017783710028378833,0.21708199164047498,False
60,True,0.13943221689260468,0.05862022188400295,-0.12101656778235004,0.0208111258250709,0.19662186977775434,False
61,True,0.16043853775122563,0.047639568698711346,-0.08813268827137317,0.0383176990190073,0.20659285653771994,False
62,True,0.1842976715735622,0.01706931478703165,-0.04177803594160658,-0.008298607575151528,0.1572944873932454,False
63,True,0.16096315570185515,0.03421295259196932,-0.061377819855228805,0.015331054753156097,0.1844151290161095,False
64,True,0.15799240890323357,0.04489442662695731,-0.039633379185807775,-0.0016954874701766724,0.1743964292193859,False
65,True,0.19720839653919994,0.03874835152331815,-0.08530403360667593,0.00446615485390028,0.19511381579810028,False
66,True,0.15406910998771084,0.04479755978440558,-0.07433433512722705,0.023015474056512684,0.1745161508393741,False
67,True,0.18859170328848074,0.03642467494474606,-0.08081375945731956,0.029785853938080673,0.20744177277934328,False
68,True,0.19013530952514857,0.05476764577459997,-0.08070159772172053,0.016138042986383345,0.18868878046880652,False
69,True,0.16610999108550958,0.04642273943827519,-0.03506206103121305,0.0011332202417693859,0.17826925689409467,False
70,True,0.15824767233351833,0.0322385776499027,-0.08713998678110917,0.034749877003248136,0.1641979019328627,False
71,True,0.1412062451274871,0.04841611479023251,-0.08510505971739982,0.003658568225247275,0.19130733018285748,False
72,True,0.19119446499434206,0.0366912413134075,-0.0607689814735995,-0.018080335909180848,0.18220844940145559,False
73,True,0.18403199782142457,0.030271709919727417,-0.08536429507988712,0.018261233059089554,0.19973377331686493,False
74,True,0.18367104116942168,0.05512291109516645,-0.045226445511937635,0.01759810397205331,0.20368684860423752,False
75,True,0.1779979808337487,0.04215532597417485,-0.04508112551844812,-0.0003938485332037637,0.17672355626732086,False
76,True,0.16379741252145733,0.025353041880974057,-0.13083100330374633,0.01742805825786334,0.18352076009599105,False
77,True,0.2064094674981317,0.04996564543512151,-0.11777228028562502,0.02192624310591685,0.19378056832822904,False
78,True,0.14754462344918498,0.04485923974630181,-0.056105448787221075,-0.001331989846071575,0.20298840223301107,False
79,True,0.16867760656352,0.03461529994329109,-0.07667592900909123,0.028875115110242634,0.1775567773940605,False
80,True,0.16428115752938807,0.05493299248056607,-0.07509783081501244,0.012200318153857647,0.19213162238070733,False
81,True,0.12109553775259277,0.04979801963048012,0.0019851911377284674,0.01637911140351941,0.19008302701290034,False
82,True,0.16868526126599936,0.02597282359453046,-0.03942715973679555,0.0036766229677063817,0.18670186216795123,False
83,True,0.14703843906460584,0.056389755463916266,-0.11259727618467412,0.011427709113342817,0.17435511682961916,False
84,True,0.1675598069964076,0.05131533149772736,-0.06954551713178087,0.007289524777672806,0.19166506732759062,False
85,True,0.1720348199678109,0.04065825355452715,-0.059428166978927076,-0.007703351660680532,0.17899043014378088,False
86,True,0.18061034409707954,0.03290226425365925,-0.024152491807870262,0.011191022711511185,0.18630748480929307,False
87,True,0.17653306411041217,0.03705310863120463,-0.08028833840417163,0.016256544280401086,0.18282546861929114,False
88,True,0.18736864445631204,0.053193199084918076,-0.032953810307671645,0.019706533852518266,0.1845848673647554,False
89,True,0.2045791913870908,0.022801145687661815,-0.08824914017796774,0.015704576800564748,0.19086187900865695,False
90,True,0.15324002356250138,0.045742397761052066,-0.0791703143328736,0.009227468919816526,0.1889917545833349,False
91,True,0.14256612279442174,0.05883942243199559,-0.009968494275404877,0.024260331686022464,0.1693040111530335,False
92,True,0.17463131696722495,0.03634165211416803,-0.10028412992895101,0.024971722568866258,0.17514359257536663,False
93,True,0.16609166033394007,0.05089467085769107,-0.08573360658531519,0.015244361539555896,0.1889779891813159,False
94,True,0.16049375636551758,0.03072157935171338,-0.07323896731626738,0.021969651368123927,0.17999558747294656,False
95,True,0.18758714810637636,0.03214747853613984,-0.09685205193332902,0.021795846086728483,0.1971680233403916,False
96,True,0.19589793228623337,0.039964681500284344,-0.039228432924130995,0.0016080169439936754,0.1900211679187796,False
97,True,0.17680549062832865,0.04360925314050423,-0.06566636388494339,0.006894327720655467,0.18574632601181773,False
98,True,0.15610896855093304,0.030133517498856368,-0.06023927645967539,-0.007733968432207612,0.1977510667128318,False
99,True,0.17761222313636948,0.04209073833078196,-0.09027748472264266,0.011872031569100815,0.18237114181939656,False
100,True,0.14761949629239995,0.04073746124167102,-0.1378950365120378,-0.02071061420674886,0.15275879643694598,False
101,True,0.15618908296865833,0.05726660695061908,-0.06870507357143135,0.016240274655853006,0.1825877518445765,False
102,True,0.1751009849405924,0.03829835342155545,-0.10066210446184544,-0.002128298282399249,0.18700943486211588,False
103,True,0.18108996036085667,0.04533235856454714,-0.03827152454662207,0.02287747858147952,0.1953936065246678,False
104,True,0.16590416695808352,0.05713254847116075,-0.05026312523038381,0.026928178793575508,0.16955373726495376,False
105,True,0.16950511547384325,0.03659786884911934,-0.15365391184688454,0.007219439022845658,0.179554953568674,False
106,True,0.1400316565616309,0.04863618719847599,0.0031986479556019966,0.0052538551223679985,0.16569590825749736,False
107,True,0.16154365158485315,0.03514349765204415,-0.07702683239096524,-0.004544330692431897,0.1879077747665881,False
